City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,saipan,15.1355,145.701,86.7,62,40,24.16,MP,1711157436
154,levelland,33.5873,-102.378,62.96,33,67,14.76,US,1711157190
155,ipil,7.75,122.5167,87.62,48,97,4.25,PH,1711157437
156,geraldton,-28.7667,114.6,81.01,32,0,28.77,AU,1711157437
157,lospalos,-8.5186,127.0025,81.32,71,98,7.58,TL,1711157181
158,viqueque,-8.8673,126.3658,84.72,68,100,2.44,TL,1711157242
159,goz beida,13.95,20.55,79.5,10,100,11.05,TD,1711157438
160,sisimiut,66.9395,-53.6735,7.2,68,0,10.36,GL,1711157438
161,taro,-8.3862,115.28,77.0,62,86,1.97,ID,1711157438
162,sos'va,59.1766,61.8558,36.05,83,100,11.01,RU,1711157243
163,puerto lempira,15.2667,-83.7667,80.62,70,1,13.71,HN,1711157243
164,colonia,50.9333,6.95,45.97,88,75,6.91,DE,1711157243
165,codrington,-38.2667,141.9667,62.58,51,12,11.34,AU,1711157244
166,arys,42.4252,68.795,42.04,92,44,5.1,KZ,1711157440
167,luderitz,-26.6481,15.1594,66.61,78,0,20.38,NA,1711157244
168,dzuunmod,48.2199,97.3744,14.43,70,100,2.3,MN,1711157244
169,yuanping,38.7153,112.7575,54.1,25,55,3.31,CN,1711157245
170,port alfred,-33.5906,26.891,66.18,97,5,1.99,ZA,1711157441
171,fortuna,40.5982,-124.1573,57.65,71,75,6.91,US,1711157245
172,kolosovka,56.4678,73.611,25.48,94,81,10.85,RU,1711157441
173,cabo san lucas,22.8909,-109.9124,79.9,66,0,11.5,MX,1711157246
174,burang,30.25,81.1667,13.86,95,91,2.06,CN,1711157246
175,aluksne,57.4167,27.05,39.85,96,100,10.4,LV,1711157246
176,nuku'alofa,-21.1333,-175.2,79.14,83,100,12.66,TO,1711157247
177,bredasdorp,-34.5322,20.0403,67.17,83,100,5.37,ZA,1711157442
178,aasiaat,68.7098,-52.8699,-8.07,100,68,7.65,GL,1711157247
179,bandiagara,14.3501,-3.6104,83.84,10,100,7.9,ML,1711157247
180,slave lake,55.2834,-114.769,21.18,58,100,8.05,CA,1711157289
181,tiangua,-3.7322,-40.9917,67.28,98,99,1.61,BR,1711157248
182,vyazemskiy,47.5378,134.7525,35.58,70,27,2.39,RU,1711157444
183,mount pearl,47.5166,-52.7813,31.14,82,100,28.77,CA,1711157425
184,talara,-4.5772,-81.2719,77.76,73,0,13.8,PE,1711157249
185,wewak,-3.5534,143.6268,85.87,69,68,6.42,PG,1711157445
186,scottburgh,-30.2867,30.7532,73.15,82,100,15.61,ZA,1711157446
187,brookings,44.3114,-96.7984,26.19,52,0,8.05,US,1711157404
188,remire-montjoly,4.9167,-52.2667,78.84,83,0,0.0,GF,1711157446
189,utrik,11.2278,169.8474,81.32,70,81,17.45,MH,1711157251
190,trinity beach,-16.7888,145.6968,82.29,83,75,3.44,AU,1711157251
191,kodiak,57.79,-152.4072,42.31,75,0,10.36,US,1711157447
192,lompoc,34.6391,-120.4579,64.29,69,20,12.66,US,1711157289
193,tura,25.5198,90.2201,70.27,56,1,4.61,IN,1711157447
194,castillos,-34.1667,-53.8333,57.99,72,0,5.06,UY,1711157252
195,bubaque,11.2833,-15.8333,75.56,71,99,17.27,GW,1711157448
196,filadelfia,39.9523,-75.1638,42.15,65,100,6.91,US,1711157219
197,palmer,42.1584,-72.3287,37.81,35,68,2.73,US,1711157414
198,oamaru,-45.0784,170.9801,59.18,73,100,6.49,NZ,1711157253
199,nelson bay,-32.7167,152.15,77.0,68,96,7.0,AU,1711157254
200,pechora,65.1472,57.2244,-1.14,99,94,5.01,RU,1711157449
201,kavaratti,10.5669,72.642,82.35,76,9,6.17,IN,1711157449
202,guiberoua,6.2392,-6.1727,75.79,93,100,1.59,CI,1711157450
203,thunder bay,48.4001,-89.3168,22.98,25,20,9.22,CA,1711157208
204,sinop,41.7711,34.8709,34.65,99,100,5.73,TR,1711157450
205,balqash,46.8481,74.995,23.97,79,100,9.73,KZ,1711157451
206,faya-largeau,17.9257,19.1043,72.16,17,0,12.71,TD,1711157256
207,morioka,39.7036,141.1525,40.5,60,100,7.36,JP,1711157162
208,prince rupert,54.3161,-130.3201,51.89,54,0,13.8,CA,1711157411
209,nalut,30.3333,10.85,63.5,36,13,10.67,LY,1711157257
210,san antonio de pale,-1.4014,5.6325,83.82,73,100,11.63,GQ,1711157452
211,konstancin-jeziorna,52.0938,21.1176,50.11,87,75,8.05,PL,1711157257
212,nenjiang,49.1833,125.2167,31.24,87,100,8.43,CN,1711157257
213,port saint john's,-31.6229,29.5448,73.36,82,5,15.32,ZA,1711157453
214,thompson,55.7435,-97.8558,1.56,51,75,8.05,CA,1711157206
215,dellys,36.9172,3.9131,61.3,65,80,7.72,DZ,1711157258
216,byron bay,-28.65,153.6167,74.71,66,95,8.08,AU,1711157259
217,qamdo,31.1667,97.2333,33.4,45,10,6.91,CN,1711157454
218,san andres,12.5847,-81.7006,82.42,78,20,6.91,CO,1711157259
219,nova sintra,14.8667,-24.7167,66.02,75,0,21.0,CV,1711157259
220,rio grande,-32.035,-52.0986,67.51,60,80,12.82,BR,1711157195
221,punta arenas,-53.15,-70.9167,48.31,76,100,10.36,CL,1711157333
222,badiyah,22.45,58.8,77.52,53,55,6.4,OM,1711157455
223,touros,-5.1989,-35.4608,80.31,82,6,9.44,BR,1711157455
224,nikolayevsk-on-amure,53.1406,140.73,34.25,74,24,3.11,RU,1711157261
225,xiaoweizhai,26.1903,107.5125,67.57,81,66,13.67,CN,1711157456
226,kijang,35.2442,129.2139,62.33,65,9,4.79,KR,1711157456
227,bondoukou,8.0333,-2.8,73.78,88,100,6.38,CI,1711157456
228,north bend,43.4065,-124.2243,54.25,82,100,11.5,US,1711157457
229,hilo,19.7297,-155.09,76.95,83,75,12.66,US,1711157159
230,crieff,56.3727,-3.8389,40.75,79,81,16.82,GB,1711157262
231,gibong,11.8634,122.0394,81.84,73,81,15.99,PH,1711157262
232,newman,37.3138,-121.0208,73.63,64,79,8.99,US,1711157458
233,talnakh,69.4865,88.3972,-31.83,85,21,1.74,RU,1711157263
234,zuenoula,7.4292,-6.0431,76.89,84,100,3.69,CI,1711157458
235,pocahontas,36.2615,-90.9712,66.11,55,100,5.75,US,1711157459
236,atafu village,-8.5421,-172.5159,85.28,73,10,10.74,TK,1711157181
237,nguigmi,14.2495,13.1092,77.07,17,9,11.63,NE,1711157264
238,dapa,9.7594,126.0531,81.55,73,24,12.39,PH,1711157264
239,uvinza,-5.1036,30.3911,66.96,96,100,2.66,TZ,1711157460
240,borsad,22.4167,72.9,66.24,41,2,2.8,IN,1711157460
241,homer,59.6425,-151.5483,44.49,70,75,5.75,US,1711157460
242,kailua-kona,19.6406,-155.9956,82.36,76,75,12.66,US,1711157162
243,hamilton,39.1834,-84.5333,47.43,84,100,5.75,US,1711157429
244,dauphin,51.1494,-100.0502,10.54,61,0,2.3,CA,1711157266
245,morondava,-20.2833,44.2833,78.66,85,99,4.92,MG,1711157461
246,puerto aysen,-45.4,-72.7,49.37,99,100,0.81,CL,1711157266
247,vilyuchinsk,52.9306,158.4028,30.47,73,27,2.93,RU,1711157462
248,cole harbour,44.6724,-63.4751,31.48,47,6,10.0,CA,1711157462
249,barvinkove,48.9097,37.0205,35.51,79,15,4.03,UA,1711157463
250,morant bay,17.8815,-76.4093,85.62,84,15,8.12,JM,1711157268
251,polyarnyy,69.1989,33.4478,7.12,93,15,10.85,RU,1711157463
252,veraval,20.9,70.3667,73.78,63,1,10.42,IN,1711157268
253,antsiranana,-12.2787,49.2917,74.08,88,94,6.98,MG,1711157464
254,sungai penuh,-2.0833,101.3833,71.37,89,89,1.61,ID,1711157269
255,laguna,38.421,-121.4238,65.07,68,75,13.8,US,1711157352
256,mpongwe,-13.5091,28.155,60.15,90,20,4.61,ZM,1711157269
257,lewistown,40.5992,-77.5714,46.17,73,0,3.44,US,1711157339
258,cidreira,-30.1811,-50.2056,70.16,60,100,11.86,BR,1711157465
259,pangody,65.85,74.4859,-20.15,99,80,7.61,RU,1711157465
260,falmouth,50.1544,-5.0711,45.5,81,20,11.5,GB,1711157270
